realDonaldTrump_tweet,realDonaldTrump_date,JustinTrudeau_tweet,JustinTrudeau_date
How is the Paris Accord doing? Don’t ask!,2019-12-31,Happy New Year! Wishing you all a happy and healthy 2020. Stay safe and have fun as you celebrate the start of a new decade with family and friends tonight!,2019-12-31
Wonderful account of U.S. Embassy (Iraq) vs. the Benghazi disaster!,2019-12-31,"Bonne Année! Je vous souhaite santé et bonheur pour 2020 et beaucoup de plaisir ce soir, au moment de célébrer le début d’une nouvelle décennie avec famille et amis. Soyez prudents!",2019-12-31
"Get this straightened out, Governor @GavinNewsom",2019-12-31,"A home for the holidays got more affordable for some families this year. Because earlier in 2019, we launched the First-Time Home Buyer Incentive – to help with your down payment and lower your mortgage when you buy your first home.",2019-12-30
I am far better on HealthCare than the Democrats!,2019-12-31,"Cette année, des familles ont pu économiser sur l’achat d’une maison, à temps pour les Fêtes. Parce qu’en 2019, nous avons instauré l’Incitatif à l’achat d’une première propriété afin de vous aider à faire la mise de fonds sur votre première maison et à réduire votre hypothèque.",2019-12-30
"The Fake News said I played golf today, and I did NOT! I had meeting in various locations, while closely monitoring the U.S. Embassy situation in Iraq, which I am still doing. The Corrupt Lamestream Media knew this but, not surprisingly, failed to report or correct!",2019-12-31,We owe it to our kids to keep our communities clean – and that means keeping them free from plastic waste. This year we announced we’ll ban single-use plastics as early as 2021.,2019-12-30
The Anti-Benghazi!,2019-12-31,"Nous devons offrir à nos enfants une communauté propre, et c’est en éliminant les déchets de plastique que nous y arriverons. Cette année, nous avons annoncé que nous interdirons les plastiques à usage unique à compter de 2021.",2019-12-30
Just for a little change of pace!,2019-12-31,"To everyone in Ontario and Quebec affected by the #icestorm today, please stay safe and listen to your local authorities. Thanks to all the crews who are working hard to keep roads clear and help people through the storm.",2019-12-30
"....Iran will be held fully responsible for lives lost, or damage incurred, at any of our facilities. They will pay a very BIG PRICE! This is not a Warning, it is a Threat. Happy New Year!",2019-12-31,Au gens de l’Ontario et du Québec qui sont touchés par la tempête d’aujourd'hui : veuillez rester en sécurité et obéir aux autorités locales. Merci aux équipes qui travaillent fort pour déblayer les routes et aider les gens à traverser la tempête.,2019-12-30
"The U.S. Embassy in Iraq is, & has been for hours, SAFE! Many of our great Warfighters, together with the most lethal military equipment in the world, was immediately rushed to the site. Thank you to the President & Prime Minister of Iraq for their rapid response upon request....",2019-12-31,Antisemitism & hate have no place anywhere in our world and we must continue to stand together against them. Last night’s attack on Jews celebrating Hanukkah in New York is a sad reminder of the rising numbers of such heinous acts. We must all come together to end them.,2019-12-29
“This guy (Peter Strzok) was organizing a coup to undo the 2016 election.” Rachel Campos-Duffy @FoxNews And he wasn’t the only one in that Administration. The greatest Witch Hunt in American history!,2019-12-31,"L'antisémitisme et la haine n'ont pas leur place dans notre monde, et on doit continuer d’y faire face ensemble. L'attaque d'hier soir contre les Juifs célébrant Hanoukka à New York est un triste rappel du nombre croissant de ces actes odieux. On doit s’unir pour y mettre fin.",2019-12-29
